sentenca,ambiente,bebida,comida,geral,localização,preço,serviço
Adorei a decoração rústica e aconchegante deste lugar!,1,0,0,0,0,0,0
"O interior é elegante e bem projetado, tornando a experiência ainda mais agradável.",1,0,0,0,0,0,0
"A música ambiente aqui é perfeita, relaxante e não muito alta.",1,0,0,0,0,0,0
"Espaço amplo e bem distribuído, ótimo para grupos maiores.",1,0,0,0,0,0,0
A iluminação é suave e cria uma atmosfera acolhedora.,1,0,0,0,0,0,0
"Gostei da atmosfera animada, mas não barulhenta, especialmente à noite.",1,0,0,0,0,0,0
Este restaurante tem uma lotação confortável; não é excessivamente lotado.,1,0,0,0,0,0,0
A decoração minimalista dá uma sensação de modernidade e sofisticação.,1,0,0,0,0,0,0
A música ao vivo tornou a noite muito especial!,1,0,0,0,0,0,0
A disposição das mesas permite privacidade sem sentir-se isolado.,1,0,0,0,0,0,0
As velas nas mesas adicionam um toque romântico.,1,0,0,0,0,0,0
"O ambiente é familiar e acolhedor, perfeito para um jantar relaxante.",1,0,0,0,0,0,0
A decoração é eclética e cheia de personalidade.,1,0,0,0,0,0,0
"Adorei o ambiente ao ar livre, especialmente durante o verão.",1,0,0,0,0,0,0
A iluminação de velas cria uma atmosfera íntima.,1,0,0,0,0,0,0
"O espaço é bem organizado e confortável, sem se sentir apertado.",1,0,0,0,0,0,0
A música ao fundo é muito bem escolhida e não interfere na conversa.,1,0,0,0,0,0,0
O design contemporâneo é muito atraente.,1,0,0,0,0,0,0
O restaurante tem um charme único que o diferencia dos outros.,1,0,0,0,0,0,0
Amo a vista da janela daqui!,1,0,0,0,0,0,0
"O ambiente é tranquilo e relaxante, perfeito para uma refeição tranquila.",1,0,0,0,0,0,0
As paredes de tijolos expostos dão um toque de autenticidade.,1,0,0,0,0,0,0
"A iluminação é perfeitamente ajustada, não muito brilhante nem fraca.",1,0,0,0,0,0,0
Adorei o espaço para dançar depois do jantar!,1,0,0,0,0,0,0
"Este lugar tem uma atmosfera chique, mas sem ser pretensioso.",1,0,0,0,0,0,0
As cores escolhidas para o interior são muito agradáveis.,1,0,0,0,0,0,0
"O restaurante é espaçoso, então não há sensação de estar lotado.",1,0,0,0,0,0,0
A música ao vivo neste restaurante sempre é um destaque.,1,0,0,0,0,0,0
Adoro como eles usaram plantas para decorar o ambiente.,1,0,0,0,0,0,0
A disposição das mesas permite uma boa circulação.,1,0,0,0,0,0,0
O ambiente é descontraído e convidativo.,1,0,0,0,0,0,0
A decoração temática é muito divertida e única.,1,0,0,0,0,0,0
A música ao vivo cria uma atmosfera festiva.,1,0,0,0,0,0,0
A iluminação suave torna o lugar muito acolhedor.,1,0,0,0,0,0,0
A vista panorâmica é deslumbrante!,1,0,0,0,0,0,0
Adorei a combinação de móveis vintage com toques modernos.,1,0,0,0,0,0,0
