sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
pra quem quer comer uma boa costela no bafo com cerveja gelada aqui é o lugar,0,1,1,0,0,0,0,0
atendimento impecável excelente música,1,0,0,0,0,0,0,0
pizza do rodízio muito gostosas com grande variação de sabores,0,0,1,0,0,0,0,0
maravilhoso restaurante para desfrutar com a família ou amigo pratos variados do cardápio amazonense,0,0,1,1,0,0,0,0
ambiente confortável pratos saborosos ma eventualmente o preparo pode demorar em dia de grande procura,1,0,1,0,0,0,0,1
e tem problemas para servir pizza em rodízio quando a mesa é grande não estão preparados para muita gente ao mesmo tempo apesar de possuírem um salão razoavelmente grande,1,0,0,0,0,0,0,1
atendimento excelente desde a recepção conforto manobristas e preço acessível ao benefício,0,0,0,0,0,0,1,1
bem decorada fácil acesso bom atendimento oferece bastante variedades de produtos,1,0,1,0,1,0,0,1
o melhores vinhos e a melhor gastronomia de manaus,0,1,1,0,0,0,0,0
muito bom ambientes agradável e cardápio maravilhoso,1,0,1,1,0,0,0,0
o bar é uma ótima opção pra quem quer fazer o esquenta encerrar a noite ou mesmo passar horas na mesa,0,1,0,0,0,0,0,0
procurar uma embalagem melhor pra manteiga de garrafa que fica com a mão pegajosa depois que se serve,0,0,1,0,0,0,0,0
meu esposo é deficiente físico e não podemos ir ao segundo piso em razão da falta de acessibilidade,0,0,0,1,0,0,0,0
merece a oportunidade deste excelente restaurante que com certeza elevará o seu nível tendo este profissional como colaborador,0,0,0,1,0,0,0,0
ponto negativo muito comercial para nada,0,0,0,1,0,0,0,0
parabéns coco bambu pelo profissional exemplar na próxima gostaríamos de ser atendidos por ele novamente,0,0,0,0,0,0,0,1
atendimento infinitamente melhor do que na primeira vez oferta de um buffet interessante mesmo no domingo e com preço justo incluindo entradas peixes acompanhamentos e sobremesas,0,0,1,0,0,0,1,1
comida muito boa,0,0,1,0,0,0,0,0
experimentei doi pratos sendo um frango grelhado e a minha esposa pediu estrogonofe de carne ambo o doi muito mal preparados e temperados sabor ruim e parece esquentado,0,0,1,0,0,0,0,0
de época uma vez que é regado com temáticas sazonais com apresentações musicais aí quando você pensa que acabou vem um som ao vivo com excelente repertório musical,1,0,0,0,0,0,0,0
ambiente agradável e cardápio variado embora tenham sempre alguns itens indisponíveis,1,0,1,0,0,0,0,0
lugar tranquilo climatizado ótimo para se divertir com o amigo além de um somzinho interativo karaokê tem petiscos deliciosos banheiro disponível garçons elevadíssimos e um ambiente mais reservado para uma conversa com o crush,1,0,1,1,0,0,0,1
restaurante que serve uma excelente carne de sol com acompanhamentos variados e um bom preço,0,0,1,0,0,0,1,0
ótimo cardápio excelente custo benefício ma com um demora forum do padrão infelizmente lamentável,0,0,1,0,0,0,1,1
lugar top agradável a vezes demora pra passar a pizza e o suco tirando isso recomendo,0,0,0,1,0,0,0,1
para mim é sempre uma boa opção quando quero comida japonesa,0,0,1,0,0,0,0,0
ambiente convidativo tanto para amigo e família,1,0,0,0,0,0,0,0
ótimo atendimento não parava de comer kkkk,0,0,0,0,0,0,0,1
o melhor bar a melhor feijoada o melhor café da manhã de domingo,0,1,1,0,0,0,0,0
