sentenca,categoria_maritaka
"Atendimento bom, lugar pequeno, porém aconchegante onde podes escolher entra área externa ou interna.","serviço, ambiente, outros"
Lugar agradável atendimento não é muito bom por alguns garçons do segundo piso voltaria pela pizza,"serviço, comida"
"Pra quem gosta de uma vida noturna, este é um bar histórico e com uma tradição forte para os moradores de Manaus, tem um sanduíche de pernil que é fora de serie, som, petiscos, um povo muito hospitaleiro e bem no Centro da cidade!","comida, bebida, serviço, ambiente, localização, geral"
"Para quem já foi em uma boa churrascaria, a Búfalo não é das melhores.",comida
Localizado em um ótimo shopping em Manaus.,localização
"Boa opção para um almoço casual, boa opção para estar com os amigos, boa opção para um jantar aconchegante, boa opção para levar amigos que estão conhecendo a cidade... Enfim, para todas as ocasiões, uma opção que satisfaz todos os gostos!!","comida, bebida, ambiente, serviço, geral"
"Mesas dispostas na calçada e rua, petiscos bem servidos e  boa variedade, cerveja trincando de gelada.","comida, bebida, serviço"
ótima opção de lazer.,"ambiente, geral"
"No Abare podemos degustar de petiscos e pratos incríveis e ainda aproveitar a paisagem natural que deixe o Local mais agradável ainda, parabéns!","comida, ambiente"
Precisa fechar uma área maior.,localização
Alimentação excepcional!,comida
"Ambiente tranquilo, uma ótima opção!!!",ambiente
"Preço acima da média, contudo, excelente opção para uma boa refeição.","preço, comida"
Restaurante regional de Manaus.,"comida, ambiente"
Excelente opção para lanche ou rodízio de sopas em Manaus.,"comida, ambiente"
"Melhor churrascaria de Manaus, ótimo atendimento.","serviço, comida"
"Adorei , atendimento excelente e os pratos uma delicia e uma paisagem espetacular !!!","comida, serviço, ambiente"
"Banzeiro,um restaraurante com a verdadeira culinária amazônica e ótimos pratos,um restaurante excelente para ir com a família ou amigos.","comida, ambiente, geral"
"Pizzaria péssima, atendimento péssimo",serviço
"Ótima opção para um descanso no fim de semana, possui um delicioso restaurante flutuante com locação  de pranchas para praticar sup.","restaurante flutuante, locação de pranchas para praticar sup"
"Restaurante de culinária portuguesa, de longa tradição em Manaus (mais de 20 anos), o Alentejo não decepciona aos amantes de uma boa bacalhoada, em todas as suas mais diversas variedades.","comida, serviço"
"Pelo menos, na minha experiência, a única opção de carne gorda (carne suculenta) era costela, e mesmo assim estava bem seca (ressecada e borrachuda).",comida
Ótimo restaurante!,geral
Excelente opção para um ambiente confortável.,ambiente
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.","comida, outros"
Pontos negativos: - Cardápio caro e sem opção saudável.,cardápio
Restaurante maravilhoso,"comida, ambiente, serviço"
"Ambiente tranquilo, aconchegante, boa música ao fundo e, o que mais gostei, tem opção vegetariana no cardápio.","ambiente, outros"
Um dos ambientes tem um jardim de inverno maravilhoso.,ambiente
"Lugar fica no centro histórico da cidade, vale a pena conhecer.",localização
"Restaurante muito bonito, música ambiente de qualidade, comida maravilhosa, o atendimento foi ótimo em especial pelo sr. Pedro Jacks que nos deu a sugestão do prato que fez a felicidade da família!","comida, serviço, ambiente"
